This is Euler's Method.
----------------------------------------------------------------------------
t_i		w_i			y_i=y(t_i)		|y_i-w_i|
----------------------------------------------------------------------------
0.0		0.5000000000		0.5000000000		0.0000000000
0.2		0.8000000000		0.8292986209		0.0292986209
0.4		1.1520000000		1.2140876512		0.0620876512
0.6		1.5504000000		1.6489405998		0.0985405998
0.8		1.9884800000		2.1272295358		0.1387495358
1.0		2.4581760000		2.6408590858		0.1826830858
1.2		2.9498112000		3.1799415386		0.2301303386
1.4		3.4517734400		3.7324000166		0.2806265766
1.6		3.9501281280		4.2834837878		0.3333556598
1.8		4.4281537536		4.8151762678		0.3870225142
2.0		4.8657845043		5.3054719505		0.4396874462
----------------------------------------------------------------------------
