This is the Runge-Kutta method of order four.
----------------------------------------------------------------------------
t_i		w_i			y_i=y(t_i)		|y_i - w_i|
----------------------------------------------------------------------------
0.0		0.5000000000		0.5000000000		0.0000000000
0.2		0.8292933333		0.8292986209		0.0000052876
0.4		1.2140762107		1.2140876512		0.0000114405
0.6		1.6489220170		1.6489405998		0.0000185828
0.8		2.1272026849		2.1272295358		0.0000268508
1.0		2.6408226927		2.6408590858		0.0000363930
1.2		3.1798941702		3.1799415386		0.0000473684
1.4		3.7323400729		3.7324000166		0.0000599437
1.6		4.2834094983		4.2834837878		0.0000742895
1.8		4.8150856946		4.8151762678		0.0000905732
2.0		5.3053630007		5.3054719505		0.0001089498
----------------------------------------------------------------------------
